run_dir,Platform,Device,Algorithm,Threads,policy6_freq_min,TestName,dmc_governor,Config_Name,cpu_freq_min,cpu_freq_max,dmc_freq,Config_ID,gpu_freq_max,gpu_freq,policy4_freq_max,policy6_freq_max,v3d_freq,cpu_governor,cores_online,gpu_freq_min,policy0_freq,arm_freq_min,core_freq_min,policy4_freq,policy4_freq_min,arm_freq,policy0_freq_min,governor,cpu_freq,v3d_freq_min,Device,over_voltage,Governor,over_voltage_min,dmc_freq_max,policy6_freq,gpu_governor,dmc_freq_min,policy0_freq_max,emc_max_freq,core_freq,conv_avg_ms,total_exec_ms,Kernel Runtime,Region of Interest,idle_power_w,run_power_w
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,81785.374784,9830.508511,9931.820566,3.253333333333333,3.920408163265306
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,90547.214983,9796.46449,9892.440962,3.2933333333333334,3.9272727272727272
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,90948.861946,9831.902328,9933.560811,3.3866666666666663,4.014545454545455
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,90662.348409,9811.04193,9908.649353,3.3666666666666667,4.0181818181818185
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,90599.87139,9805.098918,9898.323918,3.2,3.929090909090909
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq500\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,90634.211446,9809.228515,9903.068184,3.3333333333333335,3.936734693877551
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,95747.864999,9239.825774,9338.21555,3.2133333333333334,4.051020408163265
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,85438.566671,9227.183668,9331.376728,3.2066666666666666,4.006976744186046
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,85472.429912,9231.010373,9335.130418,3.2933333333333334,4.004081632653061
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run4,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,94507.536184,9206.438778,9301.392552,3.2666666666666666,3.9232558139534883
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run5,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,85465.523468,9230.22777,9335.043439,3.246666666666667,3.940816326530612
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq550\run6,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,85457.76356,9232.916703,9330.245321,3.24,4.0653061224489795
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq600\run1,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,99217.057552,8706.43175,8800.9174,3.1733333333333333,4.03469387755102
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq600\run2,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,80900.920415,8727.000047,8827.222597,3.24,4.146511627906977
bench_logs\2026-06-01\KMeams-OpenCL-RPI\v3d_freq600\run3,OpenCL,RaspberryPiComputeModule5,KMeans,,0,KMeams-OpenCL-RPI,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,2400,960,0,0,2400,0,0,0,0,RaspberryPiComputeModule5,0,performance,0,0,0,0,0,0,0,960,,80850.527081,8721.722828,8814.965955,3.3333333333333335,3.9918367346938775
